Year,Ranking,Name,City,Country,Latitude,Longitude
2018,1,Osteria Francescana,Modena,Italy,446.431,109.341
2018,2,El Celler de Can Roca,Girona,Spain,419.808,28.187
2018,3,Mirazur,Menton,France,437.747,75.046
2018,4,Eleven Madison Park,New York,USA,407.146,-740.071
2018,5,Gaggan,Bangkok,Thailand,13.75,100.516
2018,6,Central,Lima,Peru,-12.043,-77.028
2018,7,Maido,Lima,Peru,-12.043,-77.028
2018,8,Arpège,Paris,France,488.569,23.412
2018,9,Mugaritz,San Sebastian,Spain,433.174,-19.784
2018,10,Asador Etxebarri,Axpe,Spain,43.13,#¡CAMPO!
2018,11,Quintonil,Mexico City,Mexico,194.285,-991.277
2018,12,Blue Hill at Stone Barns,Pocantico Hills,USA,41.094.444,#¡CAMPO!
2018,13,Pujol,Mexico City,Mexico,194.285,-991.277
2018,14,Steirereck,Vienna,Austria,482.025,163.688
2018,15,White Rabbit,Moscow,Russia,55.752,37.615
2018,16,Piazza Duomo,Alba,Italy,446.961,80.341
2018,17,Den,Tokyo,Japan,356.249,1.395.856
2018,18,Disfrutar,Barcelona,Spain,413.875,21.684
2018,19,Geranium,Copenhagen,Denmark,55.675,12.565
2018,20,Attica,Melbourne,Australia,-37.814,144.963
2018,21,Alain Ducasse au Plaza Athénée,Paris,France,488.569,23.412
2018,22,Narisawa,Tokyo,Japan,356.249,1.395.856
2018,23,Le Calandre,Rubano,Italy,45.433.333,11.783.333
2018,24,Ultraviolet by Paul Pairet,Shanghai,China,31.222,121.458
2018,25,Cosme,New York,USA,407.146,-740.071
2018,26,Le Bernardin,New York,USA,407.146,-740.071
2018,27,Boragó,Santiago,Chile,-33.426,-70.566
2018,28,Odette,Singapore,Singapore,1.289,103.85
2018,29,Alléno Paris au Pavillon Ledoyen,Paris,France,488.569,23.412
2018,30,D.O.M.,São Paulo,Brazil,-23.547,-46.636
2018,31,Arzak,San Sebastian,Spain,433.174,-19.784
2018,32,Tickets,Barcelona,Spain,413.875,21.684
2018,33,The Clove Club,London,UK,515.064,#¡CAMPO!
2018,34,Alinea,Chicago,USA,418.843,-876.324
2018,35,Maaemo,Oslo,Norway,59.912,10.746
2018,36,Reale,Castel di Sangro,Italy,41.783.333,14.1
2018,37,Restaurant Tim Raue,Berlin,Germany,525.161,13.377
2018,38,Lyle's,London,UK,515.064,#¡CAMPO!
2018,39,Astrid y Gastón,Lima,Peru,-12.043,-77.028
2018,40,Septime,Paris,France,488.569,23.412
2018,41,Nihonryori RyuGin,Tokyo,Japan,356.249,1.395.856
2018,42,The Ledbury,London,UK,515.064,#¡CAMPO!
2018,43,Azurmendi,Larrabetzu,Spain,43.261.944,#¡CAMPO!
2018,44,Mikla,Istanbul,Turkey,41.013,28.949
2018,45,Dinner by Heston Blumenthal,London,UK,515.064,#¡CAMPO!
2018,46,Saison,San Francisco,USA,377.771,#¡CAMPO!
2018,47,Schloss Schauenstein,Fürstenau,Switzerland,46.716.667,9.433.333
2018,48,Hiša Franko,Kobarid,Slovenia,46.246.436,13.578.006
2018,49,Nahm,Bangkok,Thailand,13.75,100.516
2018,50,The Test Kitchen,Cape Town,South Africa,-33.916,18.416
